field_path,field_group,industry_meaning,source_category,source_categories,source_ids,simulation_role,evidence_role,value_status,requires_real_validation_later,first_batch_required,notes
task_taxonomy.manufacturing_stage,task_taxonomy,船舶制造阶段用于区分 panel line subassembly block assembly 等任务语境,shipbuilding_case,shipbuilding_case;project_internal,vendor-kobelco-shipbuilding-welding;vendor-kranendonk-panel-welding-gantry;case-siemens-hd-hyundai-mipo-autonomous-welding;project-260522-shipbuilding-welding-brain-plan,scenario_selection,field_coverage,public_vocabulary,false,true,首批任务必须绑定制造阶段但具体工位仍需项目确认
task_taxonomy.weld_object,task_taxonomy,焊接对象用于表达 stiffener panel butt bulkhead web 等船舶构件,shipbuilding_case,shipbuilding_case;project_internal,vendor-hyundai-welding-cobot-shipbuilding-2024;vendor-kobelco-shipbuilding-welding;vendor-kranendonk-panel-welding-gantry;project-260522-shipbuilding-welding-brain-plan,scenario_selection,field_coverage,public_vocabulary,false,true,对象名称可先用公开词汇和项目内部对象表
task_taxonomy.joint_type,task_taxonomy,接头形式用于区分 butt fillet tee lap groove complex,public_process_reference,shipbuilding_case;public_process_reference;project_internal,vendor-kobelco-shipbuilding-welding;vendor-kranendonk-panel-welding-gantry;guide-lincoln-electric-gmaw;guide-esab-fcaw-gmaw;guide-miller-gmaw;project-260522-shipbuilding-welding-brain-plan,geometry_selection,field_coverage,public_vocabulary,false,true,接头类型进入几何生成前置层
task_taxonomy.weld_position,task_taxonomy,焊接位置用于约束姿态和任务复杂度,public_process_reference,public_process_reference,vendor-kobelco-shipbuilding-welding;guide-esab-fcaw-gmaw;guide-miller-gmaw,pose_constraint,field_coverage,public_vocabulary,false,true,第一批优先 flat horizontal 并保留 vertical overhead 路线图
task_taxonomy.groove_geometry,task_taxonomy,坡口几何用于描述坡口类型角度间隙钝边等边界,project_internal,project_internal,project-260522-shipbuilding-welding-brain-plan,geometry_constraint,task_mapping,project_defined_placeholder,true,conditional,panel-butt 必须覆盖但数值不得当作 WPS
task_taxonomy.layer_pass,task_taxonomy,层道结构用于描述 single pass multi-pass multi-layer 和层道占位,project_internal,project_internal,project-260522-shipbuilding-welding-brain-plan,procedure_placeholder,task_mapping,simulation_assumption,true,conditional,首批只做字段占位不做厚板多层多道完整优化
procedure_fields.welding_process,procedure_fields,焊接方法用于承接 GMAW FCAW SAW manual 等工艺口径,public_process_reference,public_process_reference;standard_reference,standard-aws-swps-public-page;guide-lincoln-electric-gmaw;guide-esab-fcaw-gmaw;guide-miller-gmaw,process_selection,procedure_reference,public_vocabulary,true,true,允许 unknown 但必须显式记录
procedure_fields.plate_thickness_mm,procedure_fields,板厚用于约束坡口填充量参数窗口和任务难度,project_internal,project_internal,project-260522-shipbuilding-welding-brain-plan,geometry_assumption,task_mapping,simulation_assumption,true,true,当前多来自假设后续需图纸或 WPS 验证
procedure_fields.current,procedure_fields,电流是焊接过程参数和热输入占位核心字段,public_process_reference,public_process_reference;standard_reference;public_dataset_schema,standard-aws-swps-public-page;guide-lincoln-electric-gmaw;guide-esab-fcaw-gmaw;guide-miller-gmaw;dataset-zenodo-metal-arc-welding-10017718;dataset-zenodo-tandem-gmaw-17951725;dataset-mendeley-gmaw-screening-pool,parameter_placeholder,procedure_reference,public_reference_plus_schema,true,true,可做 schema 和参数占位不可证明真实合格
procedure_fields.voltage,procedure_fields,电压是电弧过程和热输入占位关键字段,public_process_reference,public_process_reference;standard_reference;public_dataset_schema,standard-aws-swps-public-page;guide-lincoln-electric-gmaw;guide-esab-fcaw-gmaw;guide-miller-gmaw;dataset-zenodo-metal-arc-welding-10017718;dataset-zenodo-tandem-gmaw-17951725;dataset-mendeley-gmaw-screening-pool,parameter_placeholder,procedure_reference,public_reference_plus_schema,true,true,数值窗口必须后续由 WPS PQR 或试焊确认
