field_name,source_ids,dataset_ids,coverage_role,notes
shipbuilding_context,vendor-hyundai-welding-cobot-shipbuilding-2024;vendor-kobelco-shipbuilding-welding;case-siemens-hd-hyundai-mipo-autonomous-welding;vendor-kranendonk-panel-welding-gantry;vendor-kranendonk-block-welding-line;project-260522-shipbuilding-welding-brain-plan;encyclopedia-wartsila-weld-defects;paper-shipbuilding-robot-welding-screening,,core,船舶任务语境由船舶自动化资料和项目内部规划支撑。
manufacturing_stage,vendor-hyundai-welding-cobot-shipbuilding-2024;vendor-kobelco-shipbuilding-welding;case-siemens-hd-hyundai-mipo-autonomous-welding;vendor-kranendonk-panel-welding-gantry;vendor-kranendonk-block-welding-line;project-260522-shipbuilding-welding-brain-plan,,core,制造阶段用于区分面板线、小组立、分段和块体任务。
weld_object,vendor-hyundai-welding-cobot-shipbuilding-2024;vendor-kobelco-shipbuilding-welding;case-siemens-hd-hyundai-mipo-autonomous-welding;vendor-kranendonk-panel-welding-gantry;vendor-kranendonk-block-welding-line;project-260522-shipbuilding-welding-brain-plan,,core,焊接对象来自船舶资料和项目规划；几何尺寸仍需后续假设或实测。
joint_type,vendor-kobelco-shipbuilding-welding;vendor-kranendonk-panel-welding-gantry;project-260522-shipbuilding-welding-brain-plan;guide-lincoln-electric-gmaw;guide-esab-fcaw-gmaw;guide-miller-gmaw,,core,接头类型由船舶资料、项目规划和通用工艺指南共同约束。
weld_position,vendor-kobelco-shipbuilding-welding;vendor-kranendonk-block-welding-line;guide-esab-fcaw-gmaw;guide-miller-gmaw,,supporting,焊接位置先用于任务筛选；复杂位置需要后续验证。
groove_geometry,project-260522-shipbuilding-welding-brain-plan,,supporting,坡口几何当前主要来自项目规划，后续需要 WPS 或图纸补证。
current,standard-aws-swps-public-page;guide-lincoln-electric-gmaw;guide-esab-fcaw-gmaw;guide-miller-gmaw,dataset-zenodo-metal-arc-welding-10017718;dataset-zenodo-tandem-gmaw-17951725;dataset-mendeley-gmaw-screening-pool,supporting,电流字段可由通用指南和公开过程数据提供 schema 线索；数值不可直接用于船舶验证。
voltage,standard-aws-swps-public-page;guide-lincoln-electric-gmaw;guide-esab-fcaw-gmaw;guide-miller-gmaw,dataset-zenodo-metal-arc-welding-10017718;dataset-zenodo-tandem-gmaw-17951725;dataset-mendeley-gmaw-screening-pool,supporting,电压字段用于参数规划；后续必须由 WPS 或实验补证。
wire_feed,standard-aws-swps-public-page;guide-lincoln-electric-gmaw;guide-esab-fcaw-gmaw;guide-miller-gmaw,dataset-zenodo-metal-arc-welding-10017718;dataset-zenodo-tandem-gmaw-17951725;dataset-mendeley-gmaw-screening-pool,supporting,送丝字段来自通用工艺资料和公开数据 schema。
travel_speed,vendor-kranendonk-panel-welding-gantry;standard-aws-swps-public-page;guide-lincoln-electric-gmaw;guide-esab-fcaw-gmaw;guide-miller-gmaw,dataset-zenodo-tandem-gmaw-17951725,supporting,行走速度可用于仿真参数规划，但不能视为真实质量验证。
trajectory,case-siemens-hd-hyundai-mipo-autonomous-welding;vendor-kranendonk-panel-welding-gantry;project-260522-shipbuilding-welding-brain-plan;paper-shipbuilding-robot-welding-screening,dataset-zenodo-tandem-gmaw-17951725,core,轨迹字段用于 synthetic v2 任务规划；真实机器人程序不在当前 manifest 中。
robot_pose,vendor-hyundai-welding-cobot-shipbuilding-2024;case-siemens-hd-hyundai-mipo-autonomous-welding;vendor-kranendonk-block-welding-line;paper-shipbuilding-robot-welding-screening,dataset-zenodo-tandem-gmaw-17951725,supporting,机器人姿态字段用于可达性和任务边界假设。
torch_angle,vendor-kranendonk-panel-welding-gantry,,core,焊枪角度主要由面板焊接资料支撑；具体角度值仍需后续工艺确认。
motion_template,case-siemens-hd-hyundai-mipo-autonomous-welding;vendor-kranendonk-panel-welding-gantry;vendor-kranendonk-block-welding-line;paper-shipbuilding-robot-welding-screening,,core,运动模板用于多短焊缝和面板线任务规划。
defect_label,dataset-gdxray-weld-xray;guide-twi-weld-defects;encyclopedia-wartsila-weld-defects,dataset-gdxray-weld-xray;dataset-riawelc-weld-image;dataset-lohi-weld,supporting,缺陷标签来自公开数据集和词汇资料；后续需要项目标签映射。
quality_label,project-260522-shipbuilding-welding-brain-plan;dataset-gdxray-weld-xray;dataset-zenodo-metal-arc-welding-10017718;dataset-riawelc-weld-image;dataset-lohi-weld;guide-twi-weld-defects;encyclopedia-wartsila-weld-defects,dataset-gdxray-weld-xray;dataset-zenodo-metal-arc-welding-10017718;dataset-riawelc-weld-image;dataset-lohi-weld;dataset-mendeley-gmaw-screening-pool,supporting,质量标签只作为词汇和候选标签集合，不代表真实质量验证。
inspection_reference,dataset-gdxray-weld-xray;standard-aws-swps-public-page;standard-aws-standards-index;guide-twi-weld-defects;encyclopedia-wartsila-weld-defects,dataset-gdxray-weld-xray;dataset-riawelc-weld-image;dataset-lohi-weld,supporting,检查参考用于报告术语，不能替代验收标准。
assumption_field,project-260522-shipbuilding-welding-brain-plan;standard-aws-standards-index;dataset-zenodo-metal-arc-welding-10017718;dataset-mendeley-gmaw-screening-pool,,core,假设字段必须在任务证据中显式列出，并在后续 synthetic v2 计划中保留。
requires_real_validation_later,project-260522-shipbuilding-welding-brain-plan;standard-aws-swps-public-page;standard-aws-standards-index;paper-shipbuilding-robot-welding-screening,,core,需要真实验证的字段只用于标注后续工作，不作为当前质量结论。
